RECORDING_SESSION_LABEL,item,passage,part,level,TRIAL_INDEX,ANS,total_comp,IA_ID,ia_label,punct,obj_len,part_status,len_check,trac_loss,POS,total_lines,line,line_from_top,line_from_bottom,total_words_line,line_pos,line_pos_from_left,line_pos_from_right,paragraph,part_len,IA_SKIP,ff_index,ff_duration,ff_xpos,ff_lp,gaze,gaze_fix_count,rb_reading,go_past,fp_reg,fp_reg_count,total_reg_out_count,total_fix_count,total_time,trial_total_time,trial_total_fix_count,trial_mean_fix_duration,trial_per_word_fix,trial_rt,trial_per_word_rt,prev_fix_xpos,launch_site_pix,launch_site_char
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,1,"Finland,",COM,8,complete,NO,0,NNP,13,1,0,12,13,1,0,12,1,147,1,.,.,.,.,.,.,.,.,.,.,0,3,695,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,2,a,.,1,complete,NO,0,DT,13,1,0,12,13,2,1,11,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,3,country,.,7,complete,NO,0,NN,13,1,0,12,13,3,2,10,1,147,0,2,127,296.4,5,127,1,525,855,1,1,1,4,891,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,4,in,.,2,complete,NO,0,IN,13,1,0,12,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,5,northern,.,8,complete,NO,0,JJ,13,1,0,12,13,5,4,8,1,147,0,6,235,370.4,1,370,2,370,370,0,0,0,3,679,76715,349,220,2.37,91014,619,265.6,97.9,9
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,6,"Europe,",COM,7,complete,NO,0,NNP,13,1,0,12,13,6,5,7,1,147,0,8,151,489,3,151,1,151,151,0,0,0,2,341,76715,349,220,2.37,91014,619,418,44.5,5
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,7,has,.,3,complete,NO,0,VBZ,13,1,0,12,13,7,6,6,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,237,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,8,been,.,4,complete,NO,0,VBN,13,1,0,12,13,8,7,5,1,147,0,9,283,598.2,1,283,1,283,283,0,0,0,2,441,76715,349,220,2.37,91014,619,489,105.5,10
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,9,ranked,.,6,complete,NO,0,VBN,13,1,0,12,13,9,8,4,1,147,0,10,232,669.3,2,232,1,232,232,0,0,0,2,452,76715,349,220,2.37,91014,619,598.2,51.3,5
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,10,as,.,2,complete,NO,0,IN,13,1,0,12,13,10,9,3,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,137,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,11,having,.,6,complete,NO,0,VBG,13,1,0,12,13,11,10,2,1,147,0,11,283,785.6,3,283,1,283,283,0,0,0,3,749,76715,349,220,2.37,91014,619,669.3,90.2,9
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,12,the,.,3,complete,NO,0,DT,13,1,0,12,13,12,11,1,1,147,1,.,.,.,.,.,.,.,.,.,.,1,1,134,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,13,highest,.,7,complete,NO,0,JJS,13,1,0,12,13,13,12,0,1,147,0,12,187,883.1,1,347,2,347,347,0,0,0,3,595,76715,349,220,2.37,91014,619,785.6,94.9,9
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,14,quality,.,7,complete,NO,0,NN,13,2,1,11,13,1,0,12,1,147,0,14,89,114.3,6,325,2,325,325,0,0,0,4,689,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,15,of,.,2,complete,NO,0,IN,13,2,1,11,13,2,1,11,1,147,0,16,188,154.6,2,188,1,188,188,0,0,0,2,442,76715,349,220,2.37,91014,619,61.7,75.8,7
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,16,life,.,4,complete,NO,0,NN,13,2,1,11,13,3,2,10,1,147,0,17,185,193.1,3,185,1,185,185,0,0,0,2,567,76715,349,220,2.37,91014,619,154.6,15.9,2
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,17,in,.,2,complete,NO,0,IN,13,2,1,11,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,18,the,.,3,complete,NO,0,DT,13,2,1,11,13,5,4,8,1,147,0,18,282,271.4,2,282,1,282,282,0,0,1,3,730,76715,349,220,2.37,91014,619,193.1,65.4,6
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,19,world.,PER,6,complete,NO,0,NN,13,2,1,11,13,6,5,7,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,150,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,20,In,.,2,complete,NO,0,IN,13,2,1,11,13,7,6,6,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,124,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,21,"particular,",COM,11,complete,NO,0,JJ,13,2,1,11,13,8,7,5,1,147,0,19,254,431.9,2,668,3,668,668,0,0,1,5,1208,76715,349,220,2.37,91014,619,271.4,141.1,13
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,22,Finland,.,7,complete,NO,0,NNP,13,2,1,11,13,9,8,4,1,147,0,22,246,574.9,3,246,1,246,246,0,0,1,3,839,76715,349,220,2.37,91014,619,424.9,119.6,11
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,23,has,.,3,complete,NO,0,VBZ,13,2,1,11,13,10,9,3,1,147,0,23,239,656.8,3,239,1,239,239,0,0,0,1,239,76715,349,220,2.37,91014,619,574.9,57.6,6
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,24,been,.,4,complete,NO,0,VBN,13,2,1,11,13,11,10,2,1,147,0,24,281,695.9,2,281,1,281,281,0,0,0,3,694,76715,349,220,2.37,91014,619,656.8,19.7,2
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,25,attracting,.,10,complete,NO,0,VBG,13,2,1,11,13,12,11,1,1,147,0,25,320,773.5,4,320,1,320,320,0,0,0,2,612,76715,349,220,2.37,91014,619,695.9,35.6,4
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,26,attention,.,9,complete,NO,0,NN,13,2,1,11,13,13,12,0,1,147,0,26,274,892.8,4,274,1,274,274,0,0,0,3,628,76715,349,220,2.37,91014,619,773.5,79,8
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,27,for,.,3,complete,NO,0,IN,13,3,2,10,15,1,0,14,1,147,1,.,.,.,.,.,.,.,.,.,.,0,3,673,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,28,the,.,3,complete,NO,0,DT,13,3,2,10,15,2,1,13,1,147,0,27,292,101.2,1,292,1,292,292,0,0,0,2,509,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,29,success,.,7,complete,NO,0,NN,13,3,2,10,15,3,2,12,1,147,0,28,237,171.3,4,237,1,237,237,0,0,2,4,851,76715,349,220,2.37,91014,619,101.2,36.3,4
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,30,of,.,2,complete,NO,0,IN,13,3,2,10,15,4,3,11,1,147,1,.,.,.,.,.,.,.,.,.,.,0,2,365,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,31,its,.,3,complete,NO,0,PRP$,13,3,2,10,15,5,4,10,1,147,0,29,116,287.6,3,116,1,116,1009,1,1,1,2,371,76715,349,220,2.37,91014,619,171.3,87.2,8
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,32,schools.,PER,8,complete,NO,0,NNS,13,3,2,10,15,6,5,9,1,147,0,34,266,310.3,1,266,1,266,266,0,0,2,3,612,76715,349,220,2.37,91014,619,250.4,52.1,5
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,33,Since,.,5,complete,NO,0,IN,13,3,2,10,15,7,6,8,1,147,0,35,281,444.1,4,281,1,281,281,0,0,0,2,627,76715,349,220,2.37,91014,619,310.3,91.2,9
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,34,"2000,",COM,5,complete,NO,0,CD,13,3,2,10,15,8,7,7,1,147,0,36,184,490.9,3,184,1,184,184,0,0,0,2,404,76715,349,220,2.37,91014,619,444.1,23.4,3
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,35,the,.,3,complete,NO,0,DT,13,3,2,10,15,9,8,6,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,174,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,36,country,.,7,complete,NO,0,NN,13,3,2,10,15,10,9,5,1,147,0,37,261,584,1,261,1,261,261,0,0,1,4,846,76715,349,220,2.37,91014,619,490.9,86.6,8
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,37,often,.,5,complete,NO,0,RB,13,3,2,10,15,11,10,4,1,147,0,38,242,677,2,242,1,242,242,0,0,0,2,516,76715,349,220,2.37,91014,619,584,81.5,8
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,38,appears,.,7,complete,NO,0,VBZ,13,3,2,10,15,12,11,3,1,147,0,39,252,753.5,2,252,1,252,252,0,0,0,2,531,76715,349,220,2.37,91014,619,677,54.5,5
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,39,near,.,4,complete,NO,0,IN,13,3,2,10,15,13,12,2,1,147,0,40,174,845.6,3,174,1,174,174,0,0,0,3,515,76715,349,220,2.37,91014,619,753.5,66,6
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,40,the,.,3,complete,NO,0,DT,13,3,2,10,15,14,13,1,1,147,0,41,170,908.4,3,170,1,170,170,0,0,1,3,519,76715,349,220,2.37,91014,619,845.6,28.9,3
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,41,top,.,3,complete,NO,0,NN,13,3,2,10,15,15,14,0,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,42,of,.,2,complete,NO,0,IN,13,4,3,9,11,1,0,10,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,162,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,43,an,.,2,complete,NO,0,DT,13,4,3,9,11,2,1,9,1,147,0,42,106,99.4,2,106,1,106,268,1,1,1,1,106,76715,349,220,2.37,91014,619,.,.,.
nns083,101,EDUCAT,Part1,2,14,CORRECT,100,44,international,.,13,complete,NO,0,JJ,13,4,3,9,11,3,2,8,1,147,0,44,260,163,5,260,1,260,260,0,0,0,3,863,76715,349,220,2.37,91014,619,73.8,41.7,4
