RECORDING_SESSION_LABEL,item,passage,part,level,TRIAL_INDEX,ANS,total_comp,IA_ID,ia_label,punct,obj_len,part_status,len_check,trac_loss,POS,total_lines,line,line_from_top,line_from_bottom,total_words_line,line_pos,line_pos_from_left,line_pos_from_right,paragraph,part_len,IA_SKIP,ff_index,ff_duration,ff_xpos,ff_lp,gaze,gaze_fix_count,rb_reading,go_past,fp_reg,fp_reg_count,total_reg_out_count,total_fix_count,total_time,trial_total_time,trial_total_fix_count,trial_mean_fix_duration,trial_per_word_fix,trial_rt,trial_per_word_rt,prev_fix_xpos,launch_site_pix,launch_site_char
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,1,"Finland,",COM,8,complete,YES,0,NNP,13,1,0,12,13,1,0,12,1,147,1,.,.,.,.,.,.,.,.,.,.,0,2,541,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,2,a,.,1,complete,YES,0,DT,13,1,0,12,13,2,1,11,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,3,country,.,7,complete,YES,0,NN,13,1,0,12,13,3,2,10,1,147,0,2,81,266.9,3,81,1,377,918,1,1,1,3,377,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,4,in,.,2,complete,YES,0,IN,13,1,0,12,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,5,northern,.,8,complete,YES,0,JJ,13,1,0,12,13,5,4,8,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,170,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,6,"Europe,",COM,7,complete,YES,0,NNP,13,1,0,12,13,6,5,7,1,147,0,7,211,460.2,0,211,1,211,381,1,1,1,1,211,29840,168,178,1.14,36131,246,250.1,212.4,20
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,7,has,.,3,complete,YES,0,VBZ,13,1,0,12,13,7,6,6,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,8,been,.,4,complete,YES,0,VBN,13,1,0,12,13,8,7,5,1,147,1,.,.,.,.,.,.,.,.,.,.,0,2,290,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,9,ranked,.,6,complete,YES,0,VBN,13,1,0,12,13,9,8,4,1,147,1,.,.,.,.,.,.,.,.,.,.,0,2,314,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,10,as,.,2,complete,YES,0,IN,13,1,0,12,13,10,9,3,1,147,0,9,155,737.9,2,155,1,155,614,1,1,1,1,155,29840,168,178,1.14,36131,246,390.8,335.7,31
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,11,having,.,6,complete,YES,0,VBG,13,1,0,12,13,11,10,2,1,147,0,13,314,763.2,1,314,1,691,836,1,1,1,3,691,29840,168,178,1.14,36131,246,707.6,50.9,5
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,12,the,.,3,complete,YES,0,DT,13,1,0,12,13,12,11,1,1,147,0,17,198,862.1,3,198,1,198,198,0,0,0,1,198,29840,168,178,1.14,36131,246,826,10.5,1
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,13,highest,.,7,complete,YES,0,JJS,13,1,0,12,13,13,12,0,1,147,0,18,106,917.6,4,106,1,106,106,0,0,0,1,106,29840,168,178,1.14,36131,246,862.1,17.4,2
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,14,quality,.,7,complete,YES,0,NN,13,2,1,11,13,1,0,12,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,190,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,15,of,.,2,complete,YES,0,IN,13,2,1,11,13,2,1,11,1,147,0,19,118,132.4,0,118,1,118,308,1,1,1,1,118,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,16,life,.,4,complete,YES,0,NN,13,2,1,11,13,3,2,10,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,17,in,.,2,complete,YES,0,IN,13,2,1,11,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,18,the,.,3,complete,YES,0,DT,13,2,1,11,13,5,4,8,1,147,0,21,140,290,3,140,1,140,140,0,0,0,1,140,29840,168,178,1.14,36131,246,79.2,179.3,17
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,19,world.,PER,6,complete,YES,0,NN,13,2,1,11,13,6,5,7,1,147,0,22,152,333.6,3,152,1,152,152,0,0,0,1,152,29840,168,178,1.14,36131,246,290,11.5,2
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,20,In,.,2,complete,YES,0,IN,13,2,1,11,13,7,6,6,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,21,"particular,",COM,11,complete,YES,0,JJ,13,2,1,11,13,8,7,5,1,147,1,.,.,.,.,.,.,.,.,.,.,0,2,298,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,22,Finland,.,7,complete,YES,0,NNP,13,2,1,11,13,9,8,4,1,147,0,23,156,564.3,2,156,1,156,454,1,1,1,1,156,29840,168,178,1.14,36131,246,333.6,208.9,19
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,23,has,.,3,complete,YES,0,VBZ,13,2,1,11,13,10,9,3,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,24,been,.,4,complete,YES,0,VBN,13,2,1,11,13,11,10,2,1,147,0,26,167,671,0,167,1,167,167,0,0,0,1,167,29840,168,178,1.14,36131,246,531.2,144.3,14
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,25,attracting,.,10,complete,YES,0,VBG,13,2,1,11,13,12,11,1,1,147,0,27,243,792.2,6,420,2,420,420,0,0,0,2,420,29840,168,178,1.14,36131,246,671,60.5,6
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,26,attention,.,9,complete,YES,0,NN,13,2,1,11,13,13,12,0,1,147,0,29,106,905,5,106,1,106,106,0,0,0,1,106,29840,168,178,1.14,36131,246,762.7,89.8,9
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,27,for,.,3,complete,YES,0,IN,13,3,2,10,15,1,0,14,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,28,the,.,3,complete,YES,0,DT,13,3,2,10,15,2,1,13,1,147,0,30,210,117.3,3,210,1,210,210,0,0,0,2,554,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,29,success,.,7,complete,YES,0,NN,13,3,2,10,15,3,2,12,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,30,of,.,2,complete,YES,0,IN,13,3,2,10,15,4,3,11,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,31,its,.,3,complete,YES,0,PRP$,13,3,2,10,15,5,4,10,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,32,schools.,PER,8,complete,YES,0,NNS,13,3,2,10,15,6,5,9,1,147,0,31,218,356.1,5,218,1,218,218,0,0,0,1,218,29840,168,178,1.14,36131,246,117.3,185.2,17
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,33,Since,.,5,complete,YES,0,IN,13,3,2,10,15,7,6,8,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,160,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,34,"2000,",COM,5,complete,YES,0,CD,13,3,2,10,15,8,7,7,1,147,0,32,181,508.1,4,181,1,181,341,1,1,1,1,181,29840,168,178,1.14,36131,246,356.1,111.4,11
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,35,the,.,3,complete,YES,0,DT,13,3,2,10,15,9,8,6,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,36,country,.,7,complete,YES,0,NN,13,3,2,10,15,10,9,5,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,160,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,37,often,.,5,complete,YES,0,RB,13,3,2,10,15,11,10,4,1,147,0,34,242,677.9,2,242,1,242,402,1,1,1,1,242,29840,168,178,1.14,36131,246,450.9,214.6,20
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,38,appears,.,7,complete,YES,0,VBZ,13,3,2,10,15,12,11,3,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,186,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,39,near,.,4,complete,YES,0,IN,13,3,2,10,15,13,12,2,1,147,0,36,230,852.2,4,230,1,230,416,1,1,1,2,400,29840,168,178,1.14,36131,246,646.5,172,16
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,40,the,.,3,complete,YES,0,DT,13,3,2,10,15,14,13,1,1,147,0,38,127,877.2,1,127,1,127,127,0,0,0,1,127,29840,168,178,1.14,36131,246,810.2,64.3,6
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,41,top,.,3,complete,YES,0,NN,13,3,2,10,15,15,14,0,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,42,of,.,2,complete,YES,0,IN,13,4,3,9,11,1,0,10,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,43,an,.,2,complete,YES,0,DT,13,4,3,9,11,2,1,9,1,147,0,39,241,90.6,1,241,1,241,241,0,0,0,1,241,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,44,international,.,13,complete,YES,0,JJ,13,4,3,9,11,3,2,8,1,147,1,.,.,.,.,.,.,.,.,.,.,0,4,851,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,45,survey,.,6,complete,YES,0,NN,13,4,3,9,11,4,3,7,1,147,1,.,.,.,.,.,.,.,.,.,.,1,2,353,29840,168,178,1.14,36131,246,.,.,.
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,46,of,.,2,complete,YES,0,IN,13,4,3,9,11,5,4,6,1,147,0,40,208,370,2,208,1,208,1004,1,1,2,2,412,29840,168,178,1.14,36131,246,90.6,255.9,24
s002,101,EDUCAT,Part1,2,6,CORRECT,61.11,47,educational,.,11,complete,YES,0,JJ,13,4,3,9,11,6,5,5,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,158,29840,168,178,1.14,36131,246,.,.,.
